英単語,訳,発音記号（IPA）,解説
signature,署名,ˈsɪgnəʧər,『署名』 / 音楽記号(拍子記号・調記号など) / (本の)1ページの大きさに折り畳んだ大きな紙
similarity,相似,ˌsɪməˈlɛrəti,"〈U〉類似,相似(resemblance) / 〈C〉類似点"
simplicity,単純,sɪmˈplɪsəti,"『簡単』,平易;(…の)容易《+『of』+『名』》 / 『飾り気のなさ』,簡素,地味,質素 / 実直,誠実"
simplify,簡素化する,ˈsɪmpləˌfaɪ,"…‘を'簡単にする,平易にする,単純にする"
simulate,擬似的に作り出す；模擬的に行う,ˈsɪmjələt,"…‘の'ふりをする,‘を'装う;simulate death死を装う / …‘を'まねる,‘に'似せる(imitate)"
simulation,模擬実験,ˌsɪmjəˈleɪʃən,"〈U〉ふりをすること,見せかけること / 〈C〉まね,模擬実験(コンピューターで,経済,科学などの変化を予測するモデル実験)"
simultaneously,同時に,ˌsaɪməlˈteɪniəsli,同時に
skeptic,疑り深い人；無神論者；懐疑論者,ˈskɛptɪk,"懐疑論者,疑い深い人;キリスト教不信仰者,無神論者"
skeptical,懐疑的な；疑い深い,ˈskɛptəkəl,"疑い深い,懐疑的な"
slack,ゆるんだ；活気のない；怠慢な；ゆるみ,slæk,"(綱などが)『緩んだ』,たるんだ / (規則などが)緩い,甘い,とっかりしていない / (動きなどが)遅い,のろい,ぐずぐずした / (商売などが)忙しくない,活発だない / 不注意な,いいかげんな,怠慢な / 〈U〉《the~》緩んだ(たるんだ)部分 / 〈C〉(商売などが)不振(不景気)の時期 / 〈綱など〉‘を'緩める,たるませる,〈速度・努力など〉‘を'緩める,怠る《+『off』(『up』)+『名,』+『名』+『off』(『up』)》 / なまける,怠る;〈綱などが〉緩る,たるむ;〈勢いが〉弱くなる;〈速力が〉のろくなる《+『off』(『up』)》 / 緩く,たるんで;不注意に,いいかげんに"
slash,切り裂く；深傷を負わせる；斬りつけること,slæʃ,"(刃・ナイフなどで)…‘を'さっと切る・…‘を'ヒュッと打ち下ろす / 《通例受動態で》(裏地(下着)が見えるようにするため)〈衣服〉‘に'あき口(スリット)を付ける・《通例受動態で》〈価格・数量など〉‘を'大幅に切り下げる,大きく削減する・…‘を'こき下ろす,酷評する・(…を)切り払う《+『at』+『名』》・〈雨が〉さっと打ちつける・さっと切りつけること,打ち下ろすこと・切り口,深い切り傷・(価格・数量などの)大幅切り下げ,大削減・(衣服の)あき口(スリット) ・斜線記号(/)"
slim,ほっそりとした；わずかな,slɪm,"(体格などが)ほっそりとした,細い / (量・程度などが)わずかの,少しの(slight) / 〈体,体の一部分〉‘を'細くする / (減食・運動などで)体重を減らしてやせる《+『down』》"
slogan,スローガン；標語,ˈsloʊgən,"『スローガン』,標語"
slot,スロット,slɑt,"細長いみぞ(くぼみ,口);(自動販売器などの)料金投入口 / (リスト・予定表・ある組合せなどの中で占める)場所,位置 / …‘に'細長いみぞ(小穴)をつける / …‘を'区分けする,位置につける"
slowdown,速度を落とす,ˈsloʊˌdaʊn,"速度を落とすこと / 《米》故意に生産率を落とすこと,怠業(《英》go-slow)"
slump,どすんと落ちる；暴落する；不振,slʌmp,"(…に)くずれるように落ちる(倒れる,沈み込む)《+『down on』(『to』)+『名』》 / 〈健康・人気などが〉急激に衰える,〈相場などが〉暴落する《+『down』》 / 《おもに米》不調,不振,スランプ / (景気・人気などの)急な衰え,(相場などの)暴落《+『in』+『名』》(反意語はboom)"
smuggle,密輸,ˈsmʌgəl,"(…へ,…から)…‘を'密輸する,こっそり運ぶ《+『名』+『into(out of)』+『名』》 / 密輸する,こっそり運ぶ"
soar,舞い上がる,sɔr,"〈ワシなどが〉『空高く飛ぶ』,舞い上がる / 〈山などが〉そびえ立つ,高くそびえる(進行形にできない) / 〈物価などが〉『急に上る』 / 〈希望・元気・想像力などが〉高まる"
socialist,社会主義者,ˈsoʊʃələst,社会主義者 / 《通例S-》社会党員 / 社会主義の;社会主義者の
socially,社会的に,ˈsoʊʃəli,"社会的に,社会によって / 社交上;社交的に"
solar,太陽,ˈsoʊlər,"『太陽の』,太陽からの;太陽の作用による"
sole,唯一,soʊl,足の裏 / 靴底 / 〈靴〉‘に'底をつける
solely,単に,ˈsoʊəli,"『一人で』,『単独で』(alone) / ただ,全く,もっぱら(only)"
sometime,いつか,ˈsʌmˌtaɪm,"(未来の)『いつか』;そのうち / (過去の)あるとき;以前 / かつての,以前の(former)"
sophisticate,高度化,səˈfɪstəˌkeɪt,"〈人〉‘の'純真さを失わせる,‘を'世慣れさせる / …‘を'複雑にする,精巧にする / 洗練された人…世間ずれした人"
sovereign,主権者,ˈsɑvrən,"(国王・女王などの)『君主』,主権者 / (英国の古い)1ポンド金貨 / 『君主の』,最高権力(最高位)を持つ / 『独立の』 / 最高の,この上ない / 《文》(薬・療法などが)効能のある,よく効く"
sovereignty,"【名/U】主権,統治権；【C】独立国,主権国家.",ˈsɑvrənti,"主権,統治権 / 主権者の身分(支配権,権力)"
span,期間；またがる,spæn,"『スパン』,親指と小指を広げた長さ(約9インチ=23センチ) / (ものが及ぶ限りの)長さ,伸び,範囲 / (アーチ・はり・橋などの)支柱間の距離,径間,渡間(わたりま)・『短い期間』,つかの間 / (親指と小指を広げて)…‘を'測る / 〈橋・道路などが〉〈川・土地など〉‘に'架(か)かる,‘を'横切る,‘に'伸びる / 〈川・土地など〉‘に'(橋・道路などを)架ける,渡す《+『名』+『with』+『名』》 / (空間・時間的に)…‘に'及ぶ,わたる"
spark,火花；ひらめき,spɑrk,"〈C〉『火花』,火の粉;(電気の)スパーク;(一般に)閃光(せんこう),(宝石などの)きらめき / 〈C〉(人などの)活気,生気;(才気などの)ひらめき《+『of』+『名』》 / 〈C〉(事件などの)発端,発火点 / 《a spark》ほんの少し(の…)《+『of』+『名』》 / 火花を出す;閃光を発する;〈電気が〉スパークする / 〈人〉‘を'かり立てて…させる《+『名』〈人〉+『to』(『into』)+『名』(do『ing』)》"
specialization,専門化,ˌspɛʃələˈzeɪʃən,"特殊化,専門化"
specialty,専門,ˈspɛʃəlti,"専門,専攻 / 特色,特性 / 特製品,特別品"
specification,仕様,ˌspɛsɪfɪˈkeɪʃən,"〈U〉(…の)詳説,詳述《+『of』+『名』》 / 〈U〉明細事項,内訳 / (また《話》specs)〈C〉《通例複数形で》(明細な)仕様書,設計書"
spectacular,壮観な,spɛkˈtækjələr,"見せ物的な,壮観の,めざましい / (テレビ・映画などの)超大作,特別ショー"
spectrum,(a ~of A)Aの変動範囲；スペクトル；残像,ˈspɛktrəm,"スペクトル(光がプリズムを通過するとき生じる色の帯) / (電磁波・音波などの)範囲,スペクトル / (多様だが関連あるものの)連続[範囲]《+『of』+『名』》"
speculate,推測する；投機する,ˈspɛkjəˌleɪt,"(…について)『推測する』,思い巡らす《+『about』(『on, upon』)+『名』(do『ing』)》 / (株・土地などに)『投機する』《+『in』(『on』)+『名』(do『ing』)》 / 《『speculate』+『that節』》…と推測する"
speculation,推測；憶測；考察；投機；思惑買い,ˌspɛkjəˈleɪʃən,"(…に関する)『推測』,考察《+『about』(『on, upon』)+『名』》 / (…への)投機《+『in』(『on』)+『名』》"
speculative,推測的な；投機的な；思索にふける,ˈspɛkjələtɪv,"(人・心などが)推測にふける,思索的な / 《名詞の前にのみ用いて》(考え・結論などが)理論にもとづく,観念的な / 投機の,思わく買いの"
speculator,投機家；思索家,ˈspɛkjəˌleɪtər,"投機者,相場師 / 思索家,理論家"
spill,溢流,spɪl,"(特に,うっかりして)〈液体・粉など〉‘を'『こぼす』 / 《しばしば受動態で》《おもに文》(人を傷つけて)〈血〉‘を'流す / 〈馬・車などか〉〈人など〉‘を'ほうり出す,振り落す / 《話》〈秘密など〉‘を'もらす;(…に)…‘を'もらす《+『名』+『to』+『名』》 / 〈液体・粉などが〉『こぼれる』,流れ出る / こぼれること,こぼすこと / こぼれたもの / 落ちること;落馬"
spite,悪意,spaɪt,"悪意,意地悪 / 《a ~》(…への)恨み《+『against』(『at』)+『名』》 / 〈人〉‘に'意地悪をする,‘を'困らせる"
spokesman,代弁者,ˈspoʊksmən,"スポークスマン,代弁者"
sponsorship,主催,ˈspɑnsərˌʃɪp,保証人であること;発起;(商業放送の)スポンサーであること
spouse,配偶者,spaʊs,"配偶者,夫,妻"
spreadsheet,スプレッドシート；表計算ソフト,ˈsprɛdˌʃit,
spur,拍車,spɜr,"『拍車』 / (…に対する)『刺激』,激励《+『to』(『for』)+『名』》 / 拍車状のもの,(鶏などの)けづめ,(植物の)距(きょ) / (山などの)支脈 / (行き止まり)支線 / 〈馬〉‘に'拍車を当てる《+『on』+『名』,+『名』+『on』》 / 〈人〉‘を'かり立てる:《『spur』+『名』+『to』(『into』)+『名』…に…をかり立てる》"
spy,スパイ,spaɪ,"『スパイ』,諜報員 / 『探偵』(たんてい),密偵 / (敵意をもって)(…を)『ひそかに見張る』(探る)《『+on』(『upon』)+『名』》 / (…について)調査する,せんさくする《+『into』+『名』》 / …‘を'見つけ出す,探り出す《『out』+『名』,+『名』+『out』》"
squeeze,圧搾する；強く握る；絞る；割り込む；詰め込む,skwiz,"…‘を'『絞る』,圧搾する,押しつぶす / (…から)〈果汁・汁・水分など〉‘を'『絞り取る』,絞り出す《+『from』(『out of』)+『名』》 / 〈手など〉‘を'強く握る;〈人など〉‘を'きつく抱く / (…に)…‘を'押し込む,詰め込む《+『名』+『into』(『in, into』)+『名』》;(…を)押し分けて…‘を'進める《+『名』+『through』+『名』》 / (…から)…‘を'むりに取りたてる,搾取する,強制する《+『名』+『from』(『out of』)+『名』》 / (特に手で)圧力を加える,絞る / 絞れる / 《副詞[句]を伴って》(人ごみなどを)押し分けて進む,(狭い場所などを)むりに通る;割り込む / 〈C〉『絞ること』,圧搾 / 〈C〉少量の絞り汁 / 〈C〉『強く握ること』,きつく抱きしめること / 〈U〉《しばしばa~》《話》雑踏,押し合い / 〈U〉《米話》搾取;強要,ゆすり / 〈U〉《しばしばa~》苦境,窮地"
stabilize,安定させる,ˈsteɪbəˌlaɪz,"…‘を'固定させる,安定させる"
stack,積み重ね；積み重ねる,stæk,"『干し草の山』,麦わらなどの山,いなむら / (一般に,物を積み上げた)『山』,(…の)積み重ね《+『of』+『名』》 / (図書館などの)書架,ラック;《複数形で》(特に,図書館などの)書庫 / 煙突 / 《しばしば複数形で》《話》多数,多量(の)《+『of』+『名』》 / 〈干し草・本・皿など〉‘を'積み重ねる《+『up』+『名,』+『名』+『up』》 / (…を)〈ある場所〉‘に'積み上げる《+『名』+『with』+『名』》 / 《米話》(…に対して)〈カード〉‘を'不正な切り方をする《+『名』+『against』+『名』》 / 〈飛行機〉‘を'空港上空で旋回待機させる / 山に積まれる,山になる / 〈飛行機が〉空港上空で旋回待機する"
stakeholder,利害関係者,ˈsteɪkˌhoʊldər,(勝負がつくまで)賭(かけ)金を預かる人 / 管財人
stall,失速,stɔl,"(1頭を入れる)馬小屋(牛舎)の一仕切り / (部屋の中の)小仕切り / 《おもに英》《しばしば複合語を作って》売店,屋台商,露店;商品陳列台 / (教会の内陣または聖歌隊度にある)聖職者席 / 《通例複数形で》《英》(劇場・映画館の)1階前方の[特別]席 / (飛行機の)失速,(車の)失速,エンスト / (指を保語するゴム製などの)指サック / 《話》(時間かせぎの)口実,ごまかし,引き延ばし / (特に,太らせるために)〈家畜〉‘を'小屋に入れる / 〈障害などが〉…‘を'止める,妨げる / (積み過ぎなどのために)〈エンジン・車など〉‘を'止める,‘に'エンストを起こさせる / (特に,口実・ごまかしなどによって)〈人〉‘を'待たせる,引き止める《+『off』+『名,』+『名』+『off』》 / 〈エンジン・車などが〉止まる;〈飛行機が〉失速する / (特に,口実・ごまかしなどによって)引き延ばす,ごまかす,確答(決定)を避ける"
stance,態度；立場；構え；姿勢,stæns,"態度,立場 / スタンス(ゴルフ・野球などで打球のときの足の位置)"
standardize,標準化,ˈstændərˌdaɪz,"…‘を'標準に合わせる,標準化する,規格化する"
static,静的,ˈstætɪk,"静止の,固定した / 動きのない,活気のない / 静止電気の / 静止学の / 空電 / (空電による)ラジオの雑音,テレビの電波障害"
statistical,統計的,stəˈtɪstɪkəl,"統計の,統計学上の"
statistically,統計的に,stəˈtɪstɪkəli,
statistics,統計,stəˈtɪstɪks,"《複数扱》『統計』,統計資料,統計表 / 《単数扱い》『統計学』"
statute,法令,ˈstæʧut,"法令,成文法,法規 / (法人団体の)規則"
statutory,法定の,ˈstæʧəˌtɔri,"法定の,法令による"
steadily,"【副】着実に；しっかりと,堅実に；絶え間なく",ˈstɛdəli,"『着実に』,堅実に,たゆまずに"
steam,蒸気,stim,"『蒸気』,湯気,水蒸気 / 蒸気の力 / 《話》力,精,力,元気 / …‘を'蒸気にさらす,蒸す / 『[水]蒸気を出す』,湯気をたてる《+『away』》 / 《副詞[句]を伴って》蒸気で動く / 《話》怒る,いきまく"
steep,急勾配の,stip,"『傾斜の急な』,急勾配(こうばい)の / 《話》極端な,途方もない"
steer,操縦する；連れて行く；進む,stɪr,"〈船・車・飛行機など〉‘の'『かじをとる』,‘を'操縦する;《しばしば比喩(ひゆ)的に》〈人〉‘を'操る / 〈進路・道〉‘を'操縦して進む / …‘を'導く,‘に'道を教える / 操縦する / 進路をとる / 〈船・車などが〉かじ(ハンドル)がきく / 助言,忠告"
sterling,英貨；ポンド,ˈstɜrlɪŋ,"英貨の,ポンドの;(英国で)法定純金(銀)を含む
《名詞の前にのみ用いて》(銀が)法定純度の
《名詞の前にのみ用いて》(物の品質・人物など)本物の,真正の,確かな
英貨;馬銀[製品]"
stimulus,刺激,ˈstɪmjələs,刺激[するもの]
stochastic,"確率的な,確率論的な,推計学的な",stoʊˈkæstɪk,
stockholder,株主,ˈstɑkˌhoʊldər,=shareholder
stockmarket,株式市場,ˈstɑkˌmɑrkɪt,
straightforward,わかりやすい,ˈstreɪtˈfɔrwərd,"正直な,率直な(frank) / (仕事,意味など)簡単な"
strategic,戦略的,strəˈtiʤɪk,"(比較変化なし)戦略の,計略の;戦略上重要な"
streamline,流線,ˈstrimˌlaɪn,…‘を'流線型にする / ‘を'近代化(能率化)する
strictly,厳密に,ˈstrɪktli,"『厳格に』,厳重に / 『厳密に』,正確に / 『全く』,きっはりと,断然"
strive,努力,straɪv,"『大いに努力する』,励む / (…と)『戦う』,(…に)抵抗する《+against+『名』》"
sub,補欠；補充員；補助的；次位の,sʌb,"=submarine / (おもにスポーツで)=substitute / =subordinate / 《英》=sublieutenant / =subeditor / 《英》給料の前払い分 / (…の)代役を勤める,代りとなる《+for+名》 / 《英》給料を前借り(前貸し)する / 〈給料〉‘を'前借り(前貸し)する"
subjective,主観的,səbˈʤɛktɪv,"(思想や感情が)主観的な,主観による / (芸術や芸術家が)主観的に表現する / (文法で)主格の"
subordinate,下位,səˈbɔrdənət,"(…より)『下位の』,下級の《+to+名》 / 『従属的な』,捕助的な / 従属する人(物);部下,属官 / (…より)…‘を'下位におく,(…に)…‘を'従属させる《+名+to+名》"
subprime,上位に次ぐ位；信用リスクの大きい消費者,subprime,
subscribe,申し込む,səbˈskraɪb,"(雑誌・切符などを)『予約する』《+to(for)+名》 / (…に)『寄付(出資)を約束する』,寄付(出資)する《+to(for)+名》,(…を)寄付する《+for+名》 / (書類などの終りに)署名する《+to+名》 / (…に)同意する,賛成する《+to+名》 / (…に)〈金〉‘の'寄付(支払い)を約束する,‘を'寄付する,支払う《+名+to(for)+名》 / 〈書類〉‘に'署名する;〈自分の名前〉‘を'書く(sign)"
subscriber,加入者,səbˈskraɪbər,"予約者,定期講読者 / 寄付者,出資者 / (契約書,証明書などの)署名者 / 同意者"
subscription,購読,səbˈskrɪpʃən,"〈U〉(雑誌・切符などの)『予約』;(慈善事業などへの)寄付申込み《+to+名》 / 〈C〉(…への)『寄付金』,〈U〉寄付《+to+名》 / 〈C〉(募金によって集められた)資金,寄金 / 〈C〉《話》署名"
subsection,小区分,ˈsʌbsɛkʃən,
subsidiary,子会社,səbˈsɪdiˌɛri,"補助の / 従属的な,二次的な / 助成金(補成金)の(による) / 補助物(者);付属物 / 子会社"
subsidize,助成,ˈsʌbsɪˌdaɪz,…‘に'補助金(奨励金)を与える
subsidy,補助金,ˈsʌbsɪdi,"(国家・団体などの)補助金,同成金,奨励金"
substantially,実質的,səbˈstænʃəli,"概して,本質的に / 十分に,豊富に"
substitution,代入,ˌsʌbstɪˈtuʃən,"(…の)『代用』,代理,置き換え《+for+名》"
subtle,"微妙な,目立たない,わずかな；かすかな,淡い；希薄な；巧妙な；狡猾な；鋭敏な,敏感な",ˈsʌtəl,"(知覚しにくいほど)『かすかな』,ほのかな,微妙な / (頭脳・感覚などが)鋭い / ずるい,こうかつな / 難解な / 巧みな,精巧な"
subtract,引く；減じる；控除する；引き算する,səbˈtrækt,"(数字などについて)(…から)…を『引く』,減じる《+名+from+名》 / 引き算をする"
suburb,郊外,ˈsʌbərb,"〈C〉(都市の近くの住宅地区としての)『郊外』,近郊 / 《the suburbs》《集合的に》(中心街に対して都市の)郊外[住宅地]"
succession,継承,səkˈsɛʃən,"〈C〉(…の)『連続』(series)《+of+名》 / 〈U〉『続くこと』,連続 / 〈U〉(地位・財産などの)『継承[権]』,相続[権]《+to+名》 / 〈U〉(…に対する)継承(相続)順位《+to+名》"
successive,連続した,səkˈsɛsɪv,『連続する』
successor,後継,səkˈsɛsər,"(…の)『後任者』,継承者,相続人;(…に)取って代わる者《+to+名》"
sue,訴える,su,"(…の件で)〈人など〉‘を'告訴する,訴える《+名〈人〉+for+名》 / (…の件で)告訴する,訴える《+for+名》 / (…を)請う,請求する,懇願する《+for+名》"
sufficiently,十分に,səˈfɪʃəntli,『十分に』
suicide,自殺,ˈsuəˌsaɪd,"〈U〉自殺 / 〈C〉『自殺的行為,』自滅 / 〈C〉自殺者;自殺行為"
suite,ひとつづきの部屋；ひと組；ソフトウェアパッケージ；組曲,swit,"(ホテルなどで寝室・居間・客間などの)一続きの豪華な部屋 / (家具などの)一そろい,一組 / (いっしょに使われるものの)一続き,一組,一そろい / (楽曲の一形式である)組曲 / 《集合的に》《まれ》随行員,従者の一行"
summit,首脳会談；山頂；頂点,ˈsʌmət,=something
super,素晴らしい,ˈsupər,"(アパートなどの)管理人,長官,所長,監督(superintendent) / (映画の)エキストラ,端(は)役(supernumerary) / 特等品,特製品"
superior,優れている,suˈpɪriər,"(程度・質が)『普通(平均)以上に優れた』,優秀な / (地位・階級などが)『上位の』,上級の,目上の / (数量的に)勝る,優勢な / (用動が)偉ぶった,高慢な / 《補語にのみ用いて》(…に)屈しない,動じない《+to+名》 / 《名詞の前にのみ用いて》(動・植物の器官や部分が)上位の,上についている / (地位・階級などが)『上位の人』,上役,上司,先輩 / 『いっそう優れた人』 / 《しばしば S-》修道院長"
supermarket,スーパーマーケット,ˈsupərˌmɑrkɪt,『スーパーマーケット』(食料品や家庭用品などを売るセルフサービス式の大型小売店)
supervise,監督する,ˈsupərˌvaɪz,"〈労働者・仕事など〉‘を'監督する,管理する / 監督(管理)する"
supervision,監督,ˌsupərˈvɪʒən,"(…の)監督,管理,指揮《+of+名》"
supervisor,監督者,ˈsupərˌvaɪzər,"監督者,管理人"
supervisory,監督上の；監督者の,ˌsupərˈvaɪzəri,"監督[者]の,管理[者]の"
supposedly,たぶん,səˈpoʊzədli,"想像上,おそらく"
suppress,"【動/他】を鎮圧する,制圧する；抑制する",səˈprɛs,"〈反乱など〉‘を'『鎮圧する』…,‘の'活動を押える / 〈感情・欲望など〉‘を'『抑制する』,抑える / …‘の'発表を禁止する,伏せる"
surge,殺到する；こみ上げてくる；高揚,sɜrʤ,"波のように押し寄せる,殺到する / 〈感情が〉こみあげる《+up》 / 急増する,〈株などが〉急騰する / (…が)押し寄せること,(…の)襲来,殺到《+of+名》 / (感情の)高まり,急増,急騰"
surplus,余剰,ˈsɜrpləs,"余り,余剰 / 剰余金 / 余った,過剰の"
surrender,降伏,səˈrɛndər,"(…に)…‘を'『引き渡す』,明け渡す《+名+to+名》 / (感情などに)〈自分の身〉‘を'『任せる』,ゆだねる《+oneself to+名》 / 《文》〈権利・自由など〉‘を'『譲る』,放棄する / (…に)『降伏する』,自首する《+to+名》 / (感情などに)身をゆだねる,屈服する《+to+名》 / 『引き渡し,降伏』,自首;譲渡,放棄"
surveillance,監視,sərˈveɪləns,"(特に容疑者・囚人などの)監視,見張り / 監督,指揮"
suspicion,疑い,səˈspɪʃən,"〈U〉〈C〉(…の)『疑い』,疑惑,嫌疑《+of+名》 / 〈C〉(…という)漠然とした感じ《that節》 / 〈U〉《しばしば a~》(…の)ほんの少し,気味《+of+名》"
suspicious,疑わしい,səˈspɪʃəs,"(人物・話などが)『疑わしい』,怪しい / 疑い深い,人を疑う / 疑っている"
sustainability,持続可能性,səˌsteɪnəˈbɪlɪti,
sustainable,持続可能な,səˈsteɪnəbəl,
swap,交換する；交換,swɑp,"《単数形で》(物と物の)交換,取り換え;交換物 / (と)…‘を'交換する《+名+for+名》 / 交換する"
swell,うねり,swɛl,"〈物が〉『大きくなる』,ふくれる,はれる《+up》 / 〈帆などが〉『張り出る』,ふくらむ《+out》 / 〈数量・程度・力などが〉『増大する』,増える,強まる / 〈川などが〉増水する,〈海が〉うねる,〈土地が〉高まる / 《話》〈感情が〉高まる;(感情で)〈胸が〉いっぱいになる《+with+名》 / …‘を'『ふくらます』,‘の'かさを大きくする / 〈帆など〉‘を'『張り出させる』,ふくらませる《+out+名,+名+out》 / …‘を'『増大させる』,増やす,強める / 〈心・胸など〉‘を'いっぱいにする / 〈U〉《時にa ~》ふくれる(増大する)こと;ふくれている状態 / 〈C〉土地の隆起部,なだらかな丘 / 〈U〉《単数形で》大波,うねり / 〈C〉音の高まり,音量の増減 / 〈C〉《古》《話》名士;(特に)流行の服を着た人 / 《米話》すばらしい,すてきな / 《古》《俗》いきな,しゃれた"
swiftly,素早く,ˈswɪftli,速く;す早く
sympathy,同情,ˈsɪmpəθi,"〈U〉『共感』,思いやり / 〈U〉《時に複数形で》(…に対する)『同情』,哀れみ《+for(with)+名》 / 〈U〉《時に複数形で》(…に対する)弔慰,お見舞《+for+名》 / 〈U〉《時に複数形で》(…に対する)『共鳴』,賛成,好意《+with+名(wh-節)》"
syndicate,企業連合；犯罪組織；理事会；通信社を通じて同時に流れる,ˈsɪndɪkət,"企業合同,シンジケート / 通信社(多くの新聞・雑誌に同時発表の記事・写真などを供給する事業) / 〈店・企業など〉‘を'合同組織にする / (通信社を通して)〈記事・写真など〉‘を'売る,供給する / 企業(店)を合同組織する"
synergy,相乗効果,ˈsɪnərʤi,
synthetic,合成,sɪnˈθɛtɪk,"総合の,統合的な / 合成の,人造の / にせの,作りごとの / (言語が)総合的な(統語的関係を表すのに,独立した語より屈折形を広く用いるもの) / 合成品,人造物"
systematic,系統的,ˌsɪstəˈmætɪk,"『系統だった』,組織的な;形画的な,故意の / 規則正しい,きちょうめんな"
tactic,作戦；かけひき；戦術；配列の,ˈtæktɪk,
tactical,戦術的な,ˈtæktɪkəl,"戦術上の,戦術的な / かけ引きのうまい,策略にたけた"
tag,鬼ごっこ,tæg,"(名前・番号・定価などを記した)札,下げ札,荷札 / (服などの)切れて垂れ下がった端;(靴ひもなどの)先金 / (特にラテン語引用句の)きまり文句 / =question tag / …‘に'下げ札をつける / (…に)…‘を'つける,加える《+名+on(to)+名》 / 〈人〉‘に'(…の)レッテルをはる《+名+as+名(形)》 / 人の後にくっついて行く《+along》;(人の)すぐ後について行く《+after(behind)+名》"
tailor,洋服屋；仕立て屋；服を仕立てる,ˈteɪlər,"(男子服の)『洋服屋』,仕立て屋 / 〈男子服〉‘を'『仕立てる』 / (特定の目的に合うように)〈物・計画など〉‘を'『作る』《+名+to+名》 / 洋服屋(仕立て屋)をする"
takeover,買収,ˈteɪˌkoʊvər,"(管理・支配などの)奮取,接収;(特に会社などの)乗っ取り"
tangible,有形,ˈtænʤəbəl,"手で触ることのできる,触知できる / 実体のある,有形の;現実の / 明白な,確実な"
tariff,関税,ˈtɛrəf,(…に掛かる)関税《+on+名》 / (関税の)税率表 / (ホテル・レストランなどの)料金表
taxable,課税対象となる；課税対象者,ˈtæksəbəl,税金がかかる;課税できる
taxation,課税；税金額,tækˈseɪʃən,"課税,徴税;税制 / (支払うべき)税金,課税額"
taxpayer,納税者,ˈtækˌspeɪər,"納税者,被課税者"
tech,工科大学；技術；技術者；技術系の,tɛk,
technically,技術的に,ˈtɛknɪkəli,"専門的に,技術的に;専門語で"
technological,科学技術の,ˌtɛknəˈlɑʤɪkəl,科学技術の(に関する)
telecom,遠距離通信；電気通信技術,ˈtɛləkɑm,
telecommunication,電気通信,ˌtɛləkəmˌjunɪˈkeɪʃən,
template,型板；ひな型；定型書式,ˈtɛmplət,型板(ある型に切った薄い木や金属の板)
temporarily,仮に,ˌtɛmpəˈrɛrəli,"一時的に,仮に"
tempt,誘惑する,tɛmpt,"(無分別・悪事などに)〈人〉‘を'『誘惑する』,そそのかす / …‘を'『そそる』,‘の'気を引く"
tenant,賃借人；占有者；賃借されている,ˈtɛnənt,"『借地人』,『借家人』;小作人 / (…の)居住者《+of+名》 / 〈土地・家〉‘を'借りる"
tenure,任期,ˈtɛnjər,任期・(役職・不動産などの)保有;保有権;保有条件・保有期間・《米》(通例ある在職期間後に与えられる)終身在職権・身分保証
terminal,末期の；最終の；発着場；端末；端子,ˈtɜrmənəl,"『終りの』,末端の / 毎期の,定期の;学期末の / 『死に至る』, / 末端 / (電池の)端子 / (町の中心に近い)空港バス発着場;(一般に,鉄道・バスの)終点,終着駅"
terminate,終わらせる；中絶する；解雇する；暗殺する,ˈtɜrməˌneɪt,"(…で)…‘を'終わらせる《+名+with+名》 / …‘の'終りにくる,結びとなる / …‘の'境界となる / 『終わる』,終結する"
termination,終了；中絶；解雇,tərməˈneɪʃən,"〈C〉〈U〉(…を)終わること,(…の)終了《+of+名》 / 〈C〉(言葉の)語尾"
terror,恐怖；暴力行為；テロ,ˈtɛrər,"〈U〉〈C〉(身に迫る)『恐怖』 / 〈C〉『恐ろしい人(物・事)』 / 〈C〉《話》やっかいな人,手に負えない物"
terrorism,テロ,ˈtɛrəˌrɪzəm,"(政治的な)行為,テロ;恐怖政治"
testify,証言する,ˈtɛstəˌfaɪ,"〈人が〉(法廷で)『証言する』,(一般に)証言する;(…に不利な,有利な)証言をする《+against(for, in favor of)+名》 / 〈人が〉(…を)保証する,立証する《+to+名(doing)》 / 〈物事が〉(…の)証拠となる,(…を)示す《+to+名》 / 《testify+that-節》(法廷で)〈人が〉…である‘と'『証言する』;〈物事が〉…‘という'証拠となる"
testimony,証言,ˈtɛstəˌmoʊni,"〈C〉〈U〉(法廷の証人台での)『証言』 / 〈U〉(…の)証拠,しるし《+of+名》 / (信仰などの)公然とした表明"
textbook,教科書,ˈtɛkstˌbʊk,『教科書』
textile,繊維,ˈtɛkˌstaɪl,織物の / 織物;織物材料(綿糸・ナイロンなど)
theft,盗難,θɛft,盗み;窃盗罪
thereafter,以降,ðɛˈræftər,その後(after that)
thereby,それによって,ˈðɛrˈbaɪ,それによって(by that means) / それに関連して
thorough,綿密な,ˈθɜroʊ,"《名詞の前にのみ用いて》『完全な』,完ぺきな / 全くの,根っからの / (仕事などが)『徹底的な』,手落ちのない"
thoroughly,徹底的に,ˈθɜroʊli,"『徹底的に』,完ぺきに,全く"
threshold,しきい値,ˈθrɛˌʃoʊld,"『敷居』 / 《単数形で》(…の)『始め』,出発点,発端《+of+名》 / 閾(心理学で刺激に対して反応を示し始める点)"
thrive,繁栄,θraɪv,"〈物事が〉『成功する』,栄える,繁栄する / 〈人・動植物が〉『よく成長する』,健康である"
